Model,Train R2,Test R2,Train MSE,Test MSE,Complexity
Linear,0.7335837117726098,0.5794321862180132,29.21646338923542,29.869771027613023,4
Poly,0.961694593308669,-476.58078247514334,4.200751086404426,33918.97371184847,34
Ridge,0.923786204045438,0.12304705627416301,8.357963374073439,62.28337683648933,34
